"","c1","c2","c3","alpha","beta","gamma","sigma","s_m.n1","s_m.n2","s_m.n3","lambda"
"c1",1,0.555358545875178,-0.676125271534531,0.0427743392581393,0.0460862854785375,0.069903878454321,-0.00647381353336603,-0.0422772858862591,0.0490499615360394,0.0198625534166592,-0.0309287212186486
"c2",0.555358545875178,1,-0.350015244654194,0.0428868479737016,0.0212081458491792,0.0649121435418998,-0.0254286864088642,0.058652450081654,0.0871750694798023,0.0191219886501333,-0.0441529823109648
"c3",-0.676125271534531,-0.350015244654194,1,-0.0363275335552465,-0.032703812023932,-0.0189873427753282,-0.0143964086700961,0.0538414356447761,-0.0338438702364056,-0.010469777919871,0.0349569881689256
"alpha",0.0427743392581393,0.0428868479737016,-0.0363275335552465,1,0.355387381145704,0.621701866699848,0.0569621164342807,-0.00310850527703298,-0.0436565692062357,0.0430031733023958,0.025134567992993
"beta",0.0460862854785375,0.0212081458491792,-0.032703812023932,0.355387381145704,1,0.190458680327632,0.00632393796394641,0.066167582439036,0.0341090948453852,0.0139752965121081,-0.0686484593089967
"gamma",0.069903878454321,0.0649121435418998,-0.0189873427753282,0.621701866699848,0.190458680327632,1,0.101732408644528,-0.00588830964117402,-0.0457473570880194,0.0157547471979472,-0.237539376202187
"sigma",-0.00647381353336603,-0.0254286864088642,-0.0143964086700961,0.0569621164342807,0.00632393796394641,0.101732408644528,1,-0.0566409206288608,-0.0650562749239783,0.0358894498844616,-0.261639006161558
"s_m.n1",-0.0422772858862591,0.058652450081654,0.0538414356447761,-0.00310850527703298,0.066167582439036,-0.00588830964117402,-0.0566409206288608,1,0.808903977804953,-0.0909457838084397,0.020596850333938
"s_m.n2",0.0490499615360394,0.0871750694798023,-0.0338438702364056,-0.0436565692062357,0.0341090948453852,-0.0457473570880194,-0.0650562749239783,0.808903977804953,1,-0.218683904708471,0.0268737430022602
"s_m.n3",0.0198625534166592,0.0191219886501333,-0.010469777919871,0.0430031733023958,0.0139752965121081,0.0157547471979472,0.0358894498844616,-0.0909457838084397,-0.218683904708471,1,-0.0257370914477881
"lambda",-0.0309287212186486,-0.0441529823109648,0.0349569881689256,0.025134567992993,-0.0686484593089967,-0.237539376202187,-0.261639006161558,0.020596850333938,0.0268737430022602,-0.0257370914477881,1
